source,target,note
Anson,安森,George Anson; 本书主题人物和舰队指挥者
Richard Walter,理查德·沃尔特,Gutenberg 作者字段
H. W. Household,H. W. 豪斯霍尔德,1901 年缩编与评注者
Commodore,准将,安森的海军职衔
Centurion,百夫长号,安森旗舰
Gloucester,格洛斯特号,舰名
Trial,特赖尔号,舰名
Wager,韦杰号,舰名
Anna Pink,安娜平克船,船名与船型并存
pink,平克船,一种船型; 不译作颜色
prize,捕获船,海战中缴获的敌船或货物
galleon,大帆船,西班牙大型帆船
Manila galleon,马尼拉大帆船,菲律宾至美洲贸易航线大帆船
squadron,舰队,视上下文可译为分舰队
scurvy,坏血病,远洋航行常见疾病
Juan Fernandez,胡安·费尔南德斯,岛名
Madeira,马德拉,地名
St. Catherine's,圣凯瑟琳,巴西海岸岛屿
Tierra del Fuego,火地岛,地名
Straits of Le Maire,勒梅尔海峡,地名
Macao,澳门,地名
Canton,广州,本书语境中指广州
Canton River,广州河,旧称; 可理解为珠江入海航道语境
Viceroy,总督,清代广州语境
mandarin,官员,清代官场语境
Spithead,斯皮特黑德,英格兰锚地
